life_expectancy,gdp_per_capita,health_expenditure
65.0,2620.83804267402,2.30011368
79.316,13625.9008491328,7.18368196
61.562,2333.37128301259,3.63847613
77.5756097560976,18465.5414420364,7.29636335
80.434,33231.04296875,8.27201366
78.9292682926829,28282.2236715857,8.47063065
81.3048780487805,67781.0940939514,9.47411346
65.54,3133.25779772463,2.52554536
71.081,9323.66089490562,5.97262001
74.211,10104.2449349081,4.64506817
76.577,6515.58528418336,7.60183907
71.969,5074.60210221806,9.82036304
63.355,7589.29964909381,2.83726358
77.8439024390244,28340.3826549406,6.93641424
63.028,3894.1620089869,7.2449131
66.897,982.103161506992,2.85298109
67.148,5414.12092119088,4.01752949
81.1878048780488,50440.560224974,9.74152565
82.1292682926829,40988.6396406579,11.82888794
67.713,8409.2074145028,2.89087176
64.859,836.244875868476,3.53697729
74.141,6729.84659930283,8.29634285
80.6080487804878,50506.5179638543,12.44708347
65.246,2229.89122647803,3.67459154
80.7878048780488,20886.5243087629,8.44938278
75.151,10469.3867012856,4.99701262
71.206,5358.70156997677,7.1678791
60.432,1416.59612011764,3.83292699
63.605,883.199131457831,8.33752728
69.888,17913.4928066879,2.52456355
63.948,1760.62635668777,3.20755076
72.715,3003.28996826399,8.15452766
75.8682926829268,18428.028825614,6.6474123
82.119512195122,76350.4550416502,9.08145332
71.698,2347.44829434623,3.39623499
70.925,4730.83484836107,2.69389749
76.799,4721.20437099984,5.62794113
72.037,6520.73154560584,4.33226347
82.509756097561,105190.685952731,6.02078247
82.7,54949.621556429,7.12004995
82.7,35653.9042103495,8.85022926
71.481,6626.47502388538,8.65338707
83.9963414634146,34065.6438962526,12.32275677
77.088,4332.25159897931,7.73623276
73.503,11255.3396437881,3.74577999
63.549,2109.56288513137,4.32241869
66.269,2069.7671726925,10.52553844
82.6804878048781,34822.4048404971,8.8595314
80.5878048780488,39981.7691035833,4.20024538
72.0487804878049,1739.72018344174,5.04874945
68.715,2046.40440255621,2.01825476
74.2780487804878,20221.103686109,8.1044302
78.003,3654.35845534878,4.91255951
56.812,1030.12582947757,12.89569187
61.934,744.617175237387,13.58819675
74.462,5986.63694851258,4.74433613
84.1219512195122,188055.003235348,5.64409113
75.6439024390244,25085.784063499,7.24367952
82.9463414634147,123719.658915996,5.60926914
63.068,503.51453347296,3.14948058
66.037,604.269740360317,6.62527609
75.444,11754.5678336248,3.90037823
80.76,11786.0191492983,7.4997015
60.035,976.914116406452,3.72170115
82.2975609756098,35638.8869457406,9.09105396
66.725,6455.66062185762,13.60796833
68.281,1960.35240077424,4.66962671
73.5146341463415,10246.5017455553,5.84209728
73.973,11405.7940473759,5.70919704
66.961,3710.12451611752,12.62718964
71.546,5744.29618434435,6.96505404
85.746,226052.001905201,3.39488029
71.9007317073171,4993.51487463495,8.85170174
76.1878048780488,10024.5435616209,10.19081783
75.161,3463.1376953125,5.75281
63.011,578.251663751351,8.24868107
66.506,1158.05005055976,4.49158478
64.19,4349.79908493314,9.6219883
61.93,12911.9086441381,18.34229279
70.087,1385.91066274851,6.52950287
81.6146341463415,59123.318556487,10.03109169
