country_code,country,year,life_expectancy,gdp_per_capita,health_expenditure
MRT,Mauritania,2022,68.281,1960.35240077424,4.66962671
MUS,Mauritius,2022,73.5146341463415,10246.5017455553,5.84209728
MEX,Mexico,2022,73.973,11405.7940473759,5.70919704
FSM,"Micronesia, Fed. Sts.",2022,66.961,3710.12451611752,12.62718964
MDA,Moldova,2022,71.546,5744.29618434435,6.96505404
MCO,Monaco,2022,85.746,226052.001905201,3.39488029
MNG,Mongolia,2022,71.9007317073171,4993.51487463495,8.85170174
MNE,Montenegro,2022,76.1878048780488,10024.5435616209,10.19081783
MAR,Morocco,2022,75.161,3463.1376953125,5.75281
MOZ,Mozambique,2022,63.011,578.251663751351,8.24868107
MMR,Myanmar,2022,66.506,1158.05005055976,4.49158478
NAM,Namibia,2022,64.19,4349.79908493314,9.6219883
NRU,Nauru,2022,61.93,12911.9086441381,18.34229279
NPL,Nepal,2022,70.087,1385.91066274851,6.52950287
NLD,Netherlands,2022,81.6146341463415,59123.318556487,10.03109169
NCL,New Caledonia,2022,77.698,33516.363085906,
NZL,New Zealand,2022,81.9585365853658,49099.7090423358,10.56814575
NIC,Nicaragua,2022,74.463,2322.89053964583,8.97882748
NER,Niger,2022,60.398,609.745147574878,4.34980488
NGA,Nigeria,2022,54.079,2899.16047470324,4.21020174
MKD,North Macedonia,2022,74.4248780487805,7606.2375253797,7.42164755
MNP,Northern Mariana Islands,2022,78.531,23785.754590043,
NOR,Norway,2022,82.509756097561,109269.520580298,7.90873051
OMN,Oman,2022,77.911,23223.5829405935,3.06614041
PAK,Pakistan,2022,67.417,1538.3228133171,2.90354776
PLW,Palau,2022,68.922,13729.7602761496,14.87842083
PAN,Panama,2022,79.324,17378.6070017557,9.04578876
PNG,Papua New Guinea,2022,65.274,3102.28968594061,2.61463141
PRY,Paraguay,2022,72.319,6205.62595379319,7.73537827
PER,Peru,2022,76.834,7350.63034300417,6.0974617
PHL,Philippines,2022,69.472,3548.06930572116,5.15588379
POL,Poland,2022,77.1560975609756,18891.2121169279,6.46619797
PRT,Portugal,2022,81.6317073170732,24620.5197587181,10.5492239
PRI,Puerto Rico (US),2022,79.427,35353.6821570014,
QAT,Qatar,2022,81.857,88701.4689763536,2.18613315
ROU,Romania,2022,75.1536585365854,15503.551804598,5.79823256
RUS,Russian Federation,2022,72.5456097560976,15619.6142578125,6.8788662
RWA,Rwanda,2022,67.528,975.469323735369,5.92842579
WSM,Samoa,2022,71.55,4132.44717734444,6.93412352
SMR,San Marino,2022,85.708,54190.8417700372,7.22336292
STP,Sao Tome and Principe,2022,69.237,2389.73729784737,5.7744813
SEN,Senegal,2022,67.788,1574.0281059306,4.0444808
SRB,Serbia,2022,75.2365853658537,10024.8191112596,8.58397198
SYC,Seychelles,2022,74.509756097561,16836.6721895387,4.39909697
SLE,Sierra Leone,2022,61.275,860.371067916096,4.80377436
SGP,Singapore,2022,82.8951219512195,90299.0694637269,4.33121586
SXM,Sint Maarten (Dutch part),2022,76.18,37793.1284399157,
SVK,Slovak Republic,2022,76.9658536585366,21317.7943982363,7.70245218
SVN,Slovenia,2022,81.2829268292683,28360.3041467268,9.62683296
SLB,Solomon Islands,2022,70.409,1877.78104490956,4.82418394
SOM,"Somalia, Fed. Rep.",2022,53.931,573.141165798229,2.8469162
