country_code,country,life_expectancy,gdp_per_capita,health_expenditure,obesity,smoking,air_pollution
GMB,"Gambia, The",64.859,836.244875868476,3.53697729,14.932996,10.5,58.3640402179659
GEO,Georgia,74.141,6729.84659930283,8.29634285,34.659627,31.8,17.0438421058507
DEU,Germany,80.6080487804878,50506.5179638543,12.44708347,20.40371,21.3,10.2876894329414
GHA,Ghana,65.246,2229.89122647803,3.67459154,12.931313,3.4,54.2427873097724
GRC,Greece,80.7878048780488,20886.5243087629,8.44938278,27.981499,32.8,14.4089280374361
GTM,Guatemala,71.206,5358.70156997677,7.1678791,26.810235,11.9,21.6357355920496
GNB,Guinea-Bissau,63.605,883.199131457831,8.33752728,11.470508,8.2,50.2127655060307
GUY,Guyana,69.888,17913.4928066879,2.52456355,28.45774,11.1,25.460668047299
HTI,Haiti,63.948,1760.62635668777,3.20755076,10.68923,8.1,21.3502554448061
HND,Honduras,72.715,3003.28996826399,8.15452766,29.492417,12.3,20.3136833896573
HUN,Hungary,75.8682926829268,18428.028825614,6.6474123,31.703931,32.2,14.1364995764273
ISL,Iceland,82.119512195122,76350.4550416502,9.08145332,21.234407,9.4,5.10554827500189
IND,India,71.698,2347.44829434623,3.39623499,7.2678864,24.3,48.3948115195574
IDN,Indonesia,70.925,4730.83484836107,2.69389749,11.227874,38.2,17.8814994983985
IRN,"Iran, Islamic Rep.",76.799,4721.20437099984,5.62794113,24.266586,13.3,32.2873733599003
IRQ,Iraq,72.037,6520.73154560584,4.33226347,40.485251,19.2,38.1750699787954
IRL,Ireland,82.509756097561,105190.685952731,6.02078247,28.34655,19.3,8.17058601306707
ISR,Israel,82.7,54949.621556429,7.12004995,22.490714,20.4,18.5982756348314
ITA,Italy,82.7,35653.9042103495,8.85022926,17.291859,22.4,14.6586386239905
JAM,Jamaica,71.481,6626.47502388538,8.65338707,33.807024,9.7,17.413637041591
JPN,Japan,83.9963414634146,34065.6438962526,12.32275677,5.5393007,19.2,12.835201662985
JOR,Jordan,77.088,4332.25159897931,7.73623276,38.506997,35.6,28.7737639174179
KAZ,Kazakhstan,73.503,11255.3396437881,3.74577999,18.376419,22.2,20.0278724259165
KEN,Kenya,63.549,2109.56288513137,4.32241869,12.410276,10.7,24.3917906517518
